In game,Rank,Rank point,Win rate,URL
zhen wu yu,Challenger,"1,135 LP",55% Win Rate,https://u.gg/lol/profile/na1/zhen wu yu
Dr Pebba,Challenger,"1,131 LP",53% Win Rate,https://u.gg/lol/profile/na1/dr pebba
adc hunter,Challenger,"1,129 LP",56% Win Rate,https://u.gg/lol/profile/na1/adc hunter
Ssumdayday,Challenger,"1,128 LP",54% Win Rate,https://u.gg/lol/profile/na1/ssumdayday
Augustine,Challenger,"1,126 LP",57% Win Rate,https://u.gg/lol/profile/na1/augustine
Bazz B,Challenger,"1,124 LP",55% Win Rate,https://u.gg/lol/profile/na1/bazz b
KryRa 16,Challenger,"1,121 LP",58% Win Rate,https://u.gg/lol/profile/na1/kryra 16
TabulaRasaJG,Challenger,"1,120 LP",53% Win Rate,https://u.gg/lol/profile/na1/tabularasajg
Revenge,Challenger,"1,099 LP",55% Win Rate,https://u.gg/lol/profile/na1/revenge
feather of truth,Challenger,"1,114 LP",56% Win Rate,https://u.gg/lol/profile/na1/feather of truth
Mokokos,Challenger,"1,113 LP",57% Win Rate,https://u.gg/lol/profile/na1/mokokos
N L,Challenger,"1,113 LP",56% Win Rate,https://u.gg/lol/profile/na1/ n l
DARIUS99,Challenger,"1,108 LP",59% Win Rate,https://u.gg/lol/profile/na1/darius99
I am Súnlight,Challenger,"1,106 LP",53% Win Rate,https://u.gg/lol/profile/na1/i am súnlight
ctrI c,Challenger,"1,104 LP",59% Win Rate,https://u.gg/lol/profile/na1/ctri c
Competition9,Challenger,"1,100 LP",52% Win Rate,https://u.gg/lol/profile/na1/competition9
Vegetø,Challenger,"1,116 LP",61% Win Rate,https://u.gg/lol/profile/na1/vegetø
shangshanderen,Challenger,"1,095 LP",51% Win Rate,https://u.gg/lol/profile/na1/shangshanderen 
Jade Libut,Challenger,"1,167 LP",71% Win Rate,https://u.gg/lol/profile/na1/jade libut
rovex7,Challenger,"1,091 LP",54% Win Rate,https://u.gg/lol/profile/na1/rovex7
Davemon,Challenger,"1,074 LP",56% Win Rate,https://u.gg/lol/profile/na1/davemon
THE POWERHOUSE,Challenger,"1,085 LP",57% Win Rate,https://u.gg/lol/profile/na1/the powerhouse
Shogolol,Challenger,"1,083 LP",55% Win Rate,https://u.gg/lol/profile/na1/shogolol
Zyko,Challenger,"1,083 LP",52% Win Rate,https://u.gg/lol/profile/na1/zyko
Haboper,Challenger,"1,083 LP",61% Win Rate,https://u.gg/lol/profile/na1/haboper
Daption2,Challenger,"1,083 LP",51% Win Rate,https://u.gg/lol/profile/na1/daption2
naderfan888,Challenger,"1,083 LP",57% Win Rate,https://u.gg/lol/profile/na1/naderfan888
Good Boi,Challenger,"1,081 LP",52% Win Rate,https://u.gg/lol/profile/na1/good boi
beiowo,Challenger,"1,091 LP",58% Win Rate,https://u.gg/lol/profile/na1/beiowo
dog kachu,Challenger,"1,072 LP",53% Win Rate,https://u.gg/lol/profile/na1/dog kachu
CLG poome,Challenger,"1,071 LP",54% Win Rate,https://u.gg/lol/profile/na1/clg poome
Trixter2,Challenger,"1,065 LP",51% Win Rate,https://u.gg/lol/profile/na1/trixter2
zhong guo2,Challenger,"1,064 LP",60% Win Rate,https://u.gg/lol/profile/na1/zhong guo2
the pob,Challenger,"1,078 LP",53% Win Rate,https://u.gg/lol/profile/na1/the pob
